"","Survived","Pclass","Sex","Age","Fare","Embarked","FamilySize"
"246","0","1","male",44,90,"Q",3
"247","0","3","female",25,7.775,"S",1
"248","1","2","female",24,14.5,"S",3
"249","1","1","male",37,52.5542,"S",3
"250","0","2","male",54,26,"S",2
"251","0","3","male",24,7.25,"S",1
"252","0","3","female",29,10.4625,"S",3
"253","0","1","male",62,26.55,"S",1
"254","0","3","male",30,16.1,"S",2
"255","0","3","female",41,20.2125,"S",3
"256","1","3","female",29,15.2458,"C",3
"257","1","1","female",39,79.2,"C",1
"258","1","1","female",30,86.5,"S",1
"259","1","1","female",35,512.3292,"C",1
"260","1","2","female",50,26,"S",2
"261","0","3","male",24,7.75,"Q",1
"262","1","3","male",3,31.3875,"S",7
"263","0","1","male",52,79.65,"S",3
"264","0","1","male",40,35.25,"S",1
"265","0","3","female",24,7.75,"Q",1
"266","0","2","male",36,10.5,"S",1
"267","0","3","male",16,39.6875,"S",6
"268","1","3","male",25,7.775,"S",2
"269","1","1","female",58,153.4625,"S",2
"270","1","1","female",35,135.6333,"S",1
"271","0","1","male",39,31,"S",1
"272","1","3","male",25,7.95415,"S",1
"273","1","2","female",41,19.5,"S",2
"274","0","1","male",37,29.7,"C",2
"275","1","3","female",24,7.75,"Q",1
"276","1","1","female",63,77.9583,"S",2
"277","0","3","female",45,7.75,"S",1
"278","0","2","male",29,13,"S",1
"279","0","3","male",7,29.125,"Q",6
"280","1","3","female",35,20.25,"S",3
"281","0","3","male",65,7.75,"Q",1
"282","0","3","male",28,7.8542,"S",1
"283","0","3","male",16,9.5,"S",1
"284","1","3","male",19,8.05,"S",1
"285","0","1","male",39,26,"S",1
"286","0","3","male",33,8.6625,"C",1
"287","1","3","male",30,9.5,"S",1
"288","0","3","male",22,7.8958,"S",1
"289","1","2","male",42,13,"S",1
"290","1","3","female",22,7.75,"Q",1
"291","1","1","female",26,78.85,"S",1
"292","1","1","female",19,91.0792,"C",2
"293","0","2","male",36,12.875,"C",1
"294","0","3","female",24,8.85,"S",1
"295","0","3","male",24,7.8958,"S",1
"296","0","1","male",39,27.7208,"C",1
"297","0","3","male",23.5,7.2292,"C",1
"298","0","1","female",2,151.55,"S",4
"299","1","1","male",39,30.5,"S",1
"300","1","1","female",50,247.5208,"C",2
"301","1","3","female",24,7.75,"Q",1
"302","1","3","male",24,23.25,"Q",3
"303","0","3","male",19,7.8958,"S",1
"304","1","2","female",29,12.35,"Q",1
"305","0","3","male",24,8.05,"S",1
"306","1","1","male",0.92,151.55,"S",4
"307","1","1","female",39,110.8833,"C",1
"308","1","1","female",17,108.9,"C",2
"309","0","2","male",30,24,"C",2
"310","1","1","female",30,56.9292,"C",1
"311","1","1","female",24,83.1583,"C",1
"312","1","1","female",18,262.375,"C",5
"313","0","2","female",26,26,"S",3
"314","0","3","male",28,7.8958,"S",1
"315","0","2","male",43,26.25,"S",3
"316","1","3","female",26,7.8542,"S",1
"317","1","2","female",24,26,"S",2
"318","0","2","male",54,14,"S",1
"319","1","1","female",31,164.8667,"S",3
"320","1","1","female",40,134.5,"C",3
"321","0","3","male",22,7.25,"S",1
"322","0","3","male",27,7.8958,"S",1
"323","1","2","female",30,12.35,"Q",1
"324","1","2","female",22,29,"S",3
"325","0","3","male",24,69.55,"S",11
"326","1","1","female",36,135.6333,"C",1
"327","0","3","male",61,6.2375,"S",1
"328","1","2","female",36,13,"S",1
"329","1","3","female",31,20.525,"S",3
"330","1","1","female",16,57.9792,"C",2
"331","1","3","female",24,23.25,"Q",3
"332","0","1","male",45.5,28.5,"S",1
"333","0","1","male",38,153.4625,"S",2
"334","0","3","male",16,18,"S",3
"335","1","1","female",39,133.65,"S",2
"336","0","3","male",24,7.8958,"S",1
"337","0","1","male",29,66.6,"S",2
"338","1","1","female",41,134.5,"C",1
"339","1","3","male",45,8.05,"S",1
"340","0","1","male",45,35.5,"S",1
"341","1","2","male",2,26,"S",3
"342","1","1","female",24,263,"S",6
"343","0","2","male",28,13,"S",1
"344","0","2","male",25,13,"S",1
"345","0","2","male",36,13,"S",1
"346","1","2","female",24,13,"S",1
"347","1","2","female",40,13,"S",1
"348","1","3","female",24,16.1,"S",2
"349","1","3","male",3,15.9,"S",3
"350","0","3","male",42,8.6625,"S",1
"351","0","3","male",23,9.225,"S",1
"352","0","1","male",39,35,"S",1
"353","0","3","male",15,7.2292,"C",3
"354","0","3","male",25,17.8,"S",2
"355","0","3","male",24,7.225,"C",1
"356","0","3","male",28,9.5,"S",1
"357","1","1","female",22,55,"S",2
"358","0","2","female",38,13,"S",1
"359","1","3","female",24,7.8792,"Q",1
"360","1","3","female",24,7.8792,"Q",1
"361","0","3","male",40,27.9,"S",6
"362","0","2","male",29,27.7208,"C",2
"363","0","3","female",45,14.4542,"C",2
"364","0","3","male",35,7.05,"S",1
"365","0","3","male",24,15.5,"Q",2
"366","0","3","male",30,7.25,"S",1
"367","1","1","female",60,75.25,"C",2
"368","1","3","female",24,7.2292,"C",1
"369","1","3","female",24,7.75,"Q",1
"370","1","1","female",24,69.3,"C",1
"371","1","1","male",25,55.4417,"C",2
"372","0","3","male",18,6.4958,"S",2
"373","0","3","male",19,8.05,"S",1
"374","0","1","male",22,135.6333,"C",1
"375","0","3","female",3,21.075,"S",5
"376","1","1","female",39,82.1708,"C",2
"377","1","3","female",22,7.25,"S",1
"378","0","1","male",27,211.5,"C",3
"379","0","3","male",20,4.0125,"C",1
"380","0","3","male",19,7.775,"S",1
"381","1","1","female",42,227.525,"C",1
"382","1","3","female",1,15.7417,"C",3
"383","0","3","male",32,7.925,"S",1
"384","1","1","female",35,52,"S",2
"385","0","3","male",24,7.8958,"S",1
"386","0","2","male",18,73.5,"S",1
"387","0","3","male",1,46.9,"S",8
"388","1","2","female",36,13,"S",1
"389","0","3","male",24,7.7292,"Q",1
"390","1","2","female",17,12,"C",1
"391","1","1","male",36,120,"S",4
"392","1","3","male",21,7.7958,"S",1
"393","0","3","male",28,7.925,"S",3
"394","1","1","female",23,113.275,"C",2
"395","1","3","female",24,16.7,"S",3
"396","0","3","male",22,7.7958,"S",1
"397","0","3","female",31,7.8542,"S",1
"398","0","2","male",46,26,"S",1
"399","0","2","male",23,10.5,"S",1
"400","1","2","female",28,12.65,"S",1
"401","1","3","male",39,7.925,"S",1
"402","0","3","male",26,8.05,"S",1
"403","0","3","female",21,9.825,"S",2
"404","0","3","male",28,15.85,"S",2
"405","0","3","female",20,8.6625,"S",1
"406","0","2","male",34,21,"S",2
"407","0","3","male",51,7.75,"S",1
"408","1","2","male",3,18.75,"S",3
"409","0","3","male",21,7.775,"S",1
"410","0","3","female",24,25.4667,"S",5
"411","0","3","male",24,7.8958,"S",1
"412","0","3","male",24,6.8583,"Q",1
"413","1","1","female",33,90,"Q",2
"414","0","2","male",29,13,"S",1
"415","1","3","male",44,7.925,"S",1
"416","0","3","female",24,8.05,"S",1
"417","1","2","female",34,32.5,"S",3
"418","1","2","female",18,13,"S",3
"419","0","2","male",30,13,"S",1
"420","0","3","female",10,24.15,"S",3
"421","0","3","male",24,7.8958,"C",1
"422","0","3","male",21,7.7333,"Q",1
"423","0","3","male",29,7.875,"S",1
"424","0","3","female",28,14.4,"S",3
"425","0","3","male",18,20.2125,"S",3
"426","0","3","male",24,7.25,"S",1
"427","1","2","female",28,26,"S",2
"428","1","2","female",19,26,"S",1
"429","0","3","male",24,7.75,"Q",1
"430","1","3","male",32,8.05,"S",1
"431","1","1","male",28,26.55,"S",1
"432","1","3","female",24,16.1,"S",2
"433","1","2","female",42,26,"S",2
"434","0","3","male",17,7.125,"S",1
"435","0","1","male",50,55.9,"S",2
"436","1","1","female",14,120,"S",4
"437","0","3","female",21,34.375,"S",5
"438","1","2","female",24,18.75,"S",6
"439","0","1","male",64,263,"S",6
"440","0","2","male",31,10.5,"S",1
"441","1","2","female",45,26.25,"S",3
"442","0","3","male",20,9.5,"S",1
"443","0","3","male",25,7.775,"S",2
"444","1","2","female",28,13,"S",1
"445","1","3","male",24,8.1125,"S",1
"446","1","1","male",4,81.8583,"S",3
"447","1","2","female",13,19.5,"S",2
"448","1","1","male",34,26.55,"S",1
"449","1","3","female",5,19.2583,"C",4
"450","1","1","male",52,30.5,"S",1
"451","0","2","male",36,27.75,"S",4
"452","0","3","male",24,19.9667,"S",2
"453","0","1","male",30,27.75,"C",1
"454","1","1","male",49,89.1042,"C",2
"455","0","3","male",24,8.05,"S",1
"456","1","3","male",29,7.8958,"C",1
"457","0","1","male",65,26.55,"S",1
"458","1","1","female",39,51.8625,"S",2
"459","1","2","female",50,10.5,"S",1
"460","0","3","male",24,7.75,"Q",1
"461","1","1","male",48,26.55,"S",1
"462","0","3","male",34,8.05,"S",1
"463","0","1","male",47,38.5,"S",1
"464","0","2","male",48,13,"S",1
"465","0","3","male",24,8.05,"S",1
"466","0","3","male",38,7.05,"S",1
"467","0","2","male",29,13,"S",1
"468","0","1","male",56,26.55,"S",1
"469","0","3","male",24,7.725,"Q",1
"470","1","3","female",0.75,19.2583,"C",4
"471","0","3","male",24,7.25,"S",1
"472","0","3","male",38,8.6625,"S",1
"473","1","2","female",33,27.75,"S",4
"474","1","2","female",23,13.7917,"C",1
"475","0","3","female",22,9.8375,"S",1
"476","0","1","male",39,52,"S",1
"477","0","2","male",34,21,"S",2
"478","0","3","male",29,7.0458,"S",2
"479","0","3","male",22,7.5208,"S",1
"480","1","3","female",2,12.2875,"S",2
"481","0","3","male",9,46.9,"S",8
"482","0","2","male",29,13,"S",1
"483","0","3","male",50,8.05,"S",1
"484","1","3","female",63,9.5875,"S",1
"485","1","1","male",25,91.0792,"C",2
"486","0","3","female",24,25.4667,"S",5
"487","1","1","female",35,90,"S",2
"488","0","1","male",58,29.7,"C",1
"489","0","3","male",30,8.05,"S",1
"490","1","3","male",9,15.9,"S",3
"491","0","3","male",24,19.9667,"S",2
"492","0","3","male",21,7.25,"S",1
"493","0","1","male",55,30.5,"S",1
"494","0","1","male",71,49.5042,"C",1
"495","0","3","male",21,8.05,"S",1
"496","0","3","male",24,14.4583,"C",1
"497","1","1","female",54,78.2667,"C",2
"498","0","3","male",24,15.1,"S",1
"499","0","1","female",25,151.55,"S",4
"500","0","3","male",24,7.7958,"S",1
"501","0","3","male",17,8.6625,"S",1
"502","0","3","female",21,7.75,"Q",1
"503","0","3","female",24,7.6292,"Q",1
"504","0","3","female",37,9.5875,"S",1
"505","1","1","female",16,86.5,"S",1
"506","0","1","male",18,108.9,"C",2
"507","1","2","female",33,26,"S",3
"508","1","1","male",39,26.55,"S",1
"509","0","3","male",28,22.525,"S",1
"510","1","3","male",26,56.4958,"S",1
"511","1","3","male",29,7.75,"Q",1
"512","0","3","male",24,8.05,"S",1
"513","1","1","male",36,26.2875,"S",1
"514","1","1","female",54,59.4,"C",2
"515","0","3","male",24,7.4958,"S",1
"516","0","1","male",47,34.0208,"S",1
"517","1","2","female",34,10.5,"S",1
"518","0","3","male",24,24.15,"Q",1
"519","1","2","female",36,26,"S",2
"520","0","3","male",32,7.8958,"S",1
"521","1","1","female",30,93.5,"S",1
"522","0","3","male",22,7.8958,"S",1
"523","0","3","male",24,7.225,"C",1
"524","1","1","female",44,57.9792,"C",2
"525","0","3","male",24,7.2292,"C",1
"526","0","3","male",40.5,7.75,"Q",1
"527","1","2","female",50,10.5,"S",1
"528","0","1","male",39,221.7792,"S",1
"529","0","3","male",39,7.925,"S",1
"530","0","2","male",23,11.5,"S",4
"531","1","2","female",2,26,"S",3
"532","0","3","male",24,7.2292,"C",1
"533","0","3","male",17,7.2292,"C",3
"534","1","3","female",24,22.3583,"C",3
"535","0","3","female",30,8.6625,"S",1
"536","1","2","female",7,26.25,"S",3
"537","0","1","male",45,26.55,"S",1
"538","1","1","female",30,106.425,"C",1
"539","0","3","male",24,14.5,"S",1
"540","1","1","female",22,49.5,"C",3
"541","1","1","female",36,71,"S",3
"542","0","3","female",9,31.275,"S",7
"543","0","3","female",11,31.275,"S",7
"544","1","2","male",32,26,"S",2
"545","0","1","male",50,106.425,"C",2
"546","0","1","male",64,26,"S",1
"547","1","2","female",19,26,"S",2
"548","1","2","male",29,13.8625,"C",1
"549","0","3","male",33,20.525,"S",3
"550","1","2","male",8,36.75,"S",3
"551","1","1","male",17,110.8833,"C",3
"552","0","2","male",27,26,"S",1
"553","0","3","male",24,7.8292,"Q",1
"554","1","3","male",22,7.225,"C",1
"555","1","3","female",22,7.775,"S",1
"556","0","1","male",62,26.55,"S",1
"557","1","1","female",48,39.6,"C",2
"558","0","1","male",39,227.525,"C",1
"559","1","1","female",39,79.65,"S",3
"560","1","3","female",36,17.4,"S",2
"561","0","3","male",24,7.75,"Q",1
"562","0","3","male",40,7.8958,"S",1
"563","0","2","male",28,13.5,"S",1
"564","0","3","male",24,8.05,"S",1
"565","0","3","female",24,8.05,"S",1
"566","0","3","male",24,24.15,"S",3
"567","0","3","male",19,7.8958,"S",1
"568","0","3","female",29,21.075,"S",5
"569","0","3","male",24,7.2292,"C",1
"570","1","3","male",32,7.8542,"S",1
"571","1","2","male",62,10.5,"S",1
"572","1","1","female",53,51.4792,"S",3
"573","1","1","male",36,26.3875,"S",1
"574","1","3","female",24,7.75,"Q",1
"575","0","3","male",16,8.05,"S",1
"576","0","3","male",19,14.5,"S",1
"577","1","2","female",34,13,"S",1
"578","1","1","female",39,55.9,"S",2
"579","0","3","female",24,14.4583,"C",2
"580","1","3","male",32,7.925,"S",1
"581","1","2","female",25,30,"S",3
"582","1","1","female",39,110.8833,"C",3
"583","0","2","male",54,26,"S",1
"584","0","1","male",36,40.125,"C",1
"585","0","3","male",24,8.7125,"C",1
"586","1","1","female",18,79.65,"S",3
"587","0","2","male",47,15,"S",1
"588","1","1","male",60,79.2,"C",3
"589","0","3","male",22,8.05,"S",1
"590","0","3","male",24,8.05,"S",1
"591","0","3","male",35,7.125,"S",1
"592","1","1","female",52,78.2667,"C",2
"593","0","3","male",47,7.25,"S",1
"594","0","3","female",24,7.75,"Q",3
"595","0","2","male",37,26,"S",2
"596","0","3","male",36,24.15,"S",3
"597","1","2","female",29,33,"S",1
"598","0","3","male",49,7.9521,"S",1
"599","0","3","male",24,7.225,"C",1
"600","1","1","male",49,56.9292,"C",2
"601","1","2","female",24,27,"S",4
"602","0","3","male",24,7.8958,"S",1
"603","0","1","male",39,42.4,"S",1
"604","0","3","male",44,8.05,"S",1
"605","1","1","male",35,26.55,"C",1
"606","0","3","male",36,15.55,"S",2
"607","0","3","male",30,7.8958,"S",1
"608","1","1","male",27,30.5,"S",1
"609","1","2","female",22,41.5792,"C",4
"610","1","1","female",40,153.4625,"S",1
"611","0","3","female",39,31.275,"S",7
"612","0","3","male",24,7.05,"S",1
"613","1","3","female",24,15.5,"Q",2
"614","0","3","male",24,7.75,"Q",1
"615","0","3","male",35,8.05,"S",1
"616","1","2","female",24,65,"S",4
"617","0","3","male",34,14.4,"S",3
"618","0","3","female",26,16.1,"S",2
"619","1","2","female",4,39,"S",4
"620","0","2","male",26,10.5,"S",1
"621","0","3","male",27,14.4542,"C",2
"622","1","1","male",42,52.5542,"S",2
"623","1","3","male",20,15.7417,"C",3
"624","0","3","male",21,7.8542,"S",1
"625","0","3","male",21,16.1,"S",1
"626","0","1","male",61,32.3208,"S",1
"627","0","2","male",57,12.35,"Q",1
"628","1","1","female",21,77.9583,"S",1
"629","0","3","male",26,7.8958,"S",1
"630","0","3","male",24,7.7333,"Q",1
"631","1","1","male",80,30,"S",1
"632","0","3","male",51,7.0542,"S",1
"633","1","1","male",32,30.5,"C",1
"634","0","1","male",39,35.25,"S",1
"635","0","3","female",9,27.9,"S",6
"636","1","2","female",28,13,"S",1
"637","0","3","male",32,7.925,"S",1
"638","0","2","male",31,26.25,"S",3
"639","0","3","female",41,39.6875,"S",6
"640","0","3","male",24,16.1,"S",2
"641","0","3","male",20,7.8542,"S",1
"642","1","1","female",24,69.3,"C",1
"643","0","3","female",2,27.9,"S",6
"644","1","3","male",24,56.4958,"S",1
"645","1","3","female",0.75,19.2583,"C",4
"646","1","1","male",48,76.7292,"C",2
"647","0","3","male",19,7.8958,"S",1
"648","1","1","male",56,35.5,"C",1
"649","0","3","male",24,7.55,"S",1
"650","1","3","female",23,7.55,"S",1
"651","0","3","male",24,7.8958,"S",1
"652","1","2","female",18,23,"S",2
"653","0","3","male",21,8.4333,"S",1
"654","1","3","female",24,7.8292,"Q",1
"655","0","3","female",18,6.75,"Q",1
"656","0","2","male",24,73.5,"S",3
"657","0","3","male",24,7.8958,"S",1
"658","0","3","female",32,15.5,"Q",3
"659","0","2","male",23,13,"S",1
"660","0","1","male",58,113.275,"C",3
"661","1","1","male",50,133.65,"S",3
"662","0","3","male",40,7.225,"C",1
"663","0","1","male",47,25.5875,"S",1
"664","0","3","male",36,7.4958,"S",1
"665","1","3","male",20,7.925,"S",2
"666","0","2","male",32,73.5,"S",3
"667","0","2","male",25,13,"S",1
"668","0","3","male",24,7.775,"S",1
"669","0","3","male",43,8.05,"S",1
"670","1","1","female",39,52,"S",2
"671","1","2","female",40,39,"S",3
"672","0","1","male",31,52,"S",2
"673","0","2","male",70,10.5,"S",1
"674","1","2","male",31,13,"S",1
"675","0","2","male",29,13,"S",1
"676","0","3","male",18,7.775,"S",1
"677","0","3","male",24.5,8.05,"S",1
"678","1","3","female",18,9.8417,"S",1
"679","0","3","female",43,46.9,"S",8
"680","1","1","male",36,512.3292,"C",2
"681","0","3","female",24,8.1375,"Q",1
"682","1","1","male",27,76.7292,"C",1
"683","0","3","male",20,9.225,"S",1
"684","0","3","male",14,46.9,"S",8
"685","0","2","male",60,39,"S",3
"686","0","2","male",25,41.5792,"C",4
"687","0","3","male",14,39.6875,"S",6
"688","0","3","male",19,10.1708,"S",1
"689","0","3","male",18,7.7958,"S",1
"690","1","1","female",15,211.3375,"S",2
"691","1","1","male",31,57,"S",2
